# id	length	introns	RNAseq	isoforms	strand
ch.8535	917	1	714052	240456	+
ch.10662	598	1	290673	471	+
ch.20197	948	1	14347	297583	+
ch.1065	816	1	360685	93977	+
ch.10821	839	2	696552	135897	+
ch.4700	998	1	156906	527061	+
ch.6485	836	3	53646	234786	+
ch.4912	785	2	577136	59353	+
ch.3710	605	1	46345	8234	+
ch.15874	648	1	32260	704	+
ch.10292	575	1	31983	382	+
ch.13399	593	1	3314360	539	+
ch.8085	783	1	658908	30117	+
ch.19542	841	2	20767	87663	+
ch.8194	929	2	47620	116474	+
ch.2559	759	1	5238140	73570	+
ch.1833	783	1	74663	74061	+
ch.3635	910	2	10477	942854	+
ch.2788	640	1	32143	1747	+
ch.19857	479	1	418741	29	+
ch.15592	731	2	57185	28813	+
ch.267	706	1	1819810	5666	+
ch.6323	775	1	34086	254010	+
ch.12210	524	1	554603	581	+
ch.4277	805	2	111699	15103	+
ch.17435	603	1	27414	1771	+
ch.14052	755	1	261903	63998	+
ch.16157	1084	1	11497	793574	+
ch.4479	774	1	46810	75687	+
ch.2035	1123	2	258185	750962	+
ch.18105	813	3	93071	158824	+
ch.3248	1171	1	54229	641269	+
ch.4428	538	1	20064	481	+
ch.19378	1003	3	32816	337963	+
ch.13820	1022	1	383776	125993	+
ch.9613	965	1	83609	846534	+
ch.18154	542	1	20478	733	+
ch.10739	572	1	35771	158	+
ch.2217	898	1	98779	493564	+
ch.14037	800	2	162135	33051	+
ch.2110	481	1	346144	34	+
ch.11940	993	2	504072	421937	+
ch.7764	913	2	136140	137419	+
ch.9835	995	1	362056	639122	+
ch.5721	669	1	215725	1469	+
ch.14304	1100	2	594018	594003	+
ch.14215	673	1	26558	25375	+
ch.2332	934	1	608836	390932	+
ch.11420	586	1	232028	1337	+
ch.12589	966	1	117022	679018	+
ch.13574	623	1	34751	2357	+
ch.5513	1058	3	203089	791694	+
ch.11482	840	2	22203200	354843	+
ch.9825	796	2	52078	42147	+
ch.9726	573	1	203802	844	+
ch.2011	690	1	1172750	4177	+
ch.18121	1090	2	67439	791490	+
ch.5863	860	2	466559	66178	+
ch.7725	736	1	11273	820929	+
ch.428	1026	2	434804	583179	+
ch.10638	830	2	458925	59867	+
ch.13511	626	1	10136	9249	+
ch.16056	798	1	76288	46513	+
ch.7952	734	1	936446	23967	+
ch.9652	624	1	13416	9195	+
ch.14293	848	2	16490600	352119	+
ch.13622	853	1	12266	48514	+
ch.5705	902	2	528887	290487	+
ch.16147	595	1	114292	99	+
ch.2868	1017	1	992348	669719	+
ch.15460	801	2	45883	11469	+
ch.1660	822	2	21546400	178930	+
ch.8112	733	2	33210	240761	+
ch.6000	896	1	11452	820001	+
ch.19880	620	1	236792	9705	+
ch.19412	1136	1	25119	433212	+
ch.4082	712	1	3763410	36863	+
ch.6187	814	2	237949	163332	+
ch.17411	863	1	121829	93919	+
ch.15835	1038	2	613078	851891	+
ch.1714	888	2	19999	373899	+
ch.15864	1021	1	250490	382005	+
ch.7249	693	2	342021	20389	+
ch.3640	830	2	15065	325528	+
ch.8037	815	2	199264	215214	+
ch.1594	964	3	1215740	547862	+
ch.7098	1062	2	1740530	577861	+
ch.7309	966	2	927117	246693	+
ch.1866	884	2	1228470	594325	+
ch.6294	721	1	630349	31126	+
ch.4391	727	2	28023	20120	+
ch.19581	733	1	179309	11569	+
ch.3782	910	2	16624	269312	+
ch.19523	688	1	218483	14085	+
ch.3881	865	1	21816	88871	+
ch.9299	928	2	469625	378964	+
ch.14749	989	1	107771	475039	+
ch.1803	817	2	40179	270045	+
ch.3817	917	2	105753	132247	+
ch.4034	982	2	208393	227069	+
ch.6082	694	2	429365	837	+
ch.4356	643	1	58744	6757	+
ch.19517	634	1	134748	4280	+
ch.8310	971	3	701405	398089	+
ch.5826	598	1	5319370	1481	+
ch.9831	555	1	57521	116	+
ch.3338	677	1	38042	1134	+
ch.5937	1102	1	39683	951832	+
ch.10589	813	1	161561	21645	+
ch.10758	830	2	13176	53104	+
ch.408	959	1	10368	590647	+
ch.5591	800	1	5636470	43063	+
ch.7494	720	2	422841	3513	+
ch.13776	938	2	113070	240734	+
ch.14334	720	2	101041	12763	+
ch.15149	728	2	79159	49345	+
ch.6818	1094	1	33713	538948	+
ch.14264	962	1	24370	251837	+
ch.15108	1024	2	318366	304891	+
ch.6428	954	1	267042	766373	+
ch.14297	859	2	193605	171407	+
ch.13865	747	2	357603	23623	+
ch.2161	617	1	17355	809	+
ch.7816	798	2	26253800	106689	+
ch.11535	775	2	126667	28242	+
ch.14341	975	3	595881	747384	+
ch.9870	695	1	11949	6338	+
ch.11905	693	1	537568	8032	+
ch.7822	744	1	36857	76344	+
ch.16177	766	1	598737	110859	+
ch.13612	870	2	771854	713032	+
ch.11657	1005	1	384652	202466	+
ch.939	1020	2	408400	870781	+
ch.19249	911	2	28419	443897	+
ch.15982	780	2	483497	34326	+
ch.174	788	2	4473820	16730	+
ch.12261	1009	1	38510	371224	+
ch.1423	895	1	184781	128873	+
ch.18939	648	2	17390	3199	+
ch.4206	756	2	143915	69236	+
ch.19877	628	1	190244	6969	+
ch.8173	1060	1	38275	222621	+
ch.18449	653	1	30995	1539	+
ch.216	648	1	682989	347	+
ch.3755	716	2	22489	8217	+
ch.8122	807	2	425801	136286	+
ch.4232	896	1	110750	695685	+
ch.14619	957	1	28354	70028	+
ch.1786	742	2	158787	14895	+
ch.4263	720	1	96555	5234	+
ch.6144	1055	3	263198	272993	+
ch.3973	698	1	27417	28349	+
ch.1876	848	1	90311	99180	+
ch.15597	749	1	182535	5803	+
ch.3822	837	2	12515	22649	+
ch.1976	663	2	145232	12712	+
ch.4332	665	1	31647	37853	+
ch.1686	716	1	376427	18401	+
ch.13039	760	1	133156	10553	+
ch.15424	720	1	38390	43069	+
ch.9018	854	2	652839	71881	+
ch.8133	685	1	316575	28734	+
ch.15960	1135	2	130687	301460	+
ch.8073	635	1	370634	1048	+
ch.5188	905	1	42268	111535	+
ch.3816	1093	2	136564	315414	+
ch.61	857	2	744722	331002	+
ch.8191	818	3	10192	52369	+
ch.6343	596	1	50763	1190	+
ch.4306	615	1	21635	1815	+
ch.11706	679	2	13611	6726	+
ch.5936	1088	1	32652	798342	+
ch.9921	856	1	12327400	735525	+
ch.7730	623	1	46871	2347	+
ch.11757	956	1	27764	876027	+
ch.518	948	2	3344850	564414	+
ch.14350	816	1	489775	120481	+
ch.11435	1198	3	158770	742839	+
ch.4878	621	1	418119	599	+
ch.7403	934	1	407017	278451	+
ch.17028	591	1	37307	10108	+
ch.409	876	1	25118	56871	+
ch.10499	911	2	137329	314627	+
ch.6528	808	1	621032	7198	+
ch.5481	894	2	2757370	174422	+
ch.18040	820	1	1493440	211138	+
ch.16152	558	1	25450	32	+
ch.16012	683	2	154889	29789	+
ch.18100	701	1	1826950	451	+
ch.9434	570	1	122042	690	+
ch.9564	955	1	838935	337998	+
ch.16271	1130	2	38222	676986	+
ch.13514	927	1	12313	303244	+
ch.8719	1167	2	243373	246625	+
ch.16002	753	1	20997	42098	+
ch.7817	597	1	21739000	8884	+
ch.5580	783	1	798073	74418	+
ch.11773	1059	1	29833	741082	+
ch.16185	760	3	19749	10682	+
ch.4979	480	1	70744	74	+
ch.9501	677	1	16351	15042	+
ch.10749	813	1	49946	194534	+
ch.9632	853	2	11861	176779	+
ch.7823	832	2	26569	200655	+
ch.7631	872	2	187526	5888	+
ch.11656	1017	1	34442	525367	+
ch.6242	815	1	415688	127053	+
ch.4207	830	1	70219	122821	+
ch.17445	871	1	82113	178317	+
ch.12293	861	2	36110	490026	+
ch.1740	785	1	132731	5679	+
ch.19876	647	1	127891	6834	+
ch.5318	849	3	29487	143767	+
ch.19967	914	2	17940	381715	+
ch.4134	702	1	25228	7969	+
ch.10287	577	1	56429	382	+
ch.1416	889	1	339066	268591	+
ch.8364	963	3	350050	127189	+
ch.1696	941	3	199664	496324	+
ch.8275	850	1	511706	81223	+
ch.1665	704	1	123441	133246	+
ch.15944	748	1	26347	9391	+
ch.363	732	1	2050210	7380	+
ch.1877	858	3	167076	234194	+
ch.6114	704	1	1086010	4353	+
ch.15756	746	2	1949400	35309	+
ch.10293	771	1	10086	11596	+
ch.15824	862	1	469760	488627	+
ch.13398	617	1	591279	975	+
ch.6347	584	1	59650	2024	+
ch.17892	625	1	20490	5519	+
ch.13058	677	1	682885	13187	+
ch.17511	889	3	565633	474263	+
ch.15810	959	1	30540	82884	+
ch.2789	642	1	13387	1041	+
ch.237	756	2	25077000	191995	+
ch.266	594	1	824451	277	+
ch.11169	534	1	431647	401	+
ch.4227	539	1	86273	95	+
ch.12211	638	2	58117	960	+
ch.6233	621	1	1075180	2771	+
ch.19526	616	1	218237	6010	+
ch.16156	817	1	47667	290040	+
ch.9940	823	1	345995	44602	+
ch.5594	737	1	103116	11751	+
ch.14142	810	1	18529	100415	+
ch.9612	780	1	71179	89736	+
ch.2247	826	2	30847	64468	+
ch.2096	777	2	1260880	20917	+
ch.16325	1018	1	36440	858672	+
ch.14036	554	1	11337	809	+
ch.15129	556	1	20721	767	+
ch.12718	728	1	142697	4877	+
ch.14214	680	1	48259	7090	+
ch.2333	873	1	1923500	103828	+
ch.8729	1026	2	382364	31275	+
ch.13575	596	1	75824	1902	+
ch.16181	589	1	50388	4283	+
ch.15139	830	1	174200	91007	+
ch.9727	637	1	190321	1643	+
ch.9824	820	2	47913	194555	+
ch.13805	864	1	13278	208142	+
ch.18005	871	2	2315810	208281	+
ch.5644	756	2	20563	131567	+
ch.14292	538	1	29018400	123	+
ch.848	977	2	298011	546755	+
ch.18819	807	1	34187	165206	+
ch.15612	542	1	68530	986	+
ch.15851	608	1	45937	1351	+
ch.15703	838	1	3814740	28851	+
ch.14768	1037	2	1603310	369337	+
ch.15795	778	1	235149	14271	+
ch.14628	728	1	6737860	175075	+
ch.8067	779	3	29084	87899	+
ch.3913	796	2	252767	180516	+
ch.7248	693	2	339574	20389	+
ch.1595	1037	3	561508	984799	+
