# id	length	introns	RNAseq	isoforms
ch.1714	888	2	19999	1794227
ch.15864	1021	1	250490	2872305
ch.7249	693	2	342021	22742
ch.3640	830	2	15065	2229179
ch.8037	815	2	199264	1344707
ch.7309	966	2	927117	2243757
ch.1866	884	2	1228470	6689531
ch.6294	721	1	630349	93986
ch.4391	727	2	28023	30911
ch.19581	733	1	179309	14619
ch.3782	910	2	16624	2439979
ch.19523	688	1	218483	32209
ch.3881	865	1	21816	230774
ch.9299	928	2	469625	4869611
ch.14749	989	1	107771	2681807
ch.15722	910	3	322484	7134439
ch.1803	817	2	40179	790781
ch.3817	917	2	105753	361003
ch.4034	982	2	208393	2232743
ch.12331	865	2	330396	203147
ch.6082	694	2	429365	879
ch.4356	643	1	58744	7213
ch.19517	634	1	134748	4630
ch.8310	971	3	701405	5491051
ch.5826	598	1	5319370	2133
ch.9831	555	1	57521	123
ch.3338	677	1	38042	1134
ch.10589	813	1	161561	31943
ch.10758	830	2	13176	141304
ch.5507	525	2	51888	283
ch.408	959	1	10368	3830483
ch.16293	772	1	28336700	134094
ch.5591	800	1	5636470	43063
ch.7494	720	2	422841	3893
ch.13776	938	2	113070	1731391
ch.16382	969	2	169025	1004978
ch.14334	720	2	101041	17735
ch.15149	728	2	79159	73643
ch.6818	1094	1	33713	3184412
ch.14264	962	1	24370	4760063
ch.15108	1024	2	318366	2410909
ch.6428	954	1	267042	5775326
ch.14297	859	2	193605	434707
ch.13865	747	2	357603	29707
ch.2161	617	1	17355	833
ch.7816	798	2	26253800	300679
ch.11535	775	2	126667	39709
ch.19358	757	3	589129	115411
ch.9870	695	1	11949	7477
ch.968	956	1	17895	773903
ch.11905	693	1	537568	8762
ch.7822	744	1	36857	138899
ch.16177	766	1	598737	293226
ch.13612	870	2	771854	6507928
ch.11657	1005	1	384652	2229359
ch.19249	911	2	28419	5280911
ch.15982	780	2	483497	60977
ch.174	788	2	4473820	19826
ch.12261	1009	1	38510	2863607
ch.1423	895	1	184781	910349
ch.18939	648	2	17390	3319
ch.4206	756	2	143915	214511
ch.19877	628	1	190244	7079
ch.8173	1060	1	38275	1586409
ch.18449	653	1	30995	2343
ch.216	648	1	682989	347
ch.3856	1094	4	490863	5329077
ch.3755	716	2	22489	10785
ch.8122	807	2	425801	367927
ch.4232	896	1	110750	3509267
ch.14619	957	1	28354	292991
ch.1786	742	2	158787	21351
ch.4263	720	1	96555	6371
ch.6144	1055	3	263198	1814807
ch.3973	698	1	27417	28349
ch.1876	848	1	90311	381768
ch.15597	749	1	182535	5903
ch.3822	837	2	12515	30015
ch.1976	663	2	145232	16712
ch.4332	665	1	31647	37853
ch.1686	716	1	376427	21691
ch.13039	760	1	133156	13967
ch.15424	720	1	38390	61458
ch.9018	854	2	652839	136279
ch.10341	594	1	30030	377
ch.8133	685	1	316575	38160
ch.18518	814	1	55319	252003
ch.15960	1135	2	130687	3406813
ch.8073	635	1	370634	1153
ch.5188	905	1	42268	449643
ch.3816	1093	2	136564	4208555
ch.61	857	2	744722	1150451
ch.8191	818	3	10192	99632
ch.6343	596	1	50763	1190
ch.4306	615	1	21635	1983
ch.4699	1026	4	490858	5658269
ch.11706	679	2	13611	7083
ch.5936	1088	1	32652	7494014
ch.9921	856	1	12327400	7753703
ch.7730	623	1	46871	2779
ch.518	948	2	3344850	5794139
ch.14350	816	1	489775	511315
ch.11435	1198	3	158770	9918089
ch.4878	621	1	418119	599
ch.7403	934	1	407017	1283375
ch.17028	591	1	37307	11039
ch.409	876	1	25118	95552
ch.10499	911	2	137329	2101528
ch.6528	808	1	621032	8831
ch.5481	894	2	2757370	1005575
ch.18040	820	1	1493440	473342
ch.16152	558	1	25450	32
ch.16012	683	2	154889	40741
ch.18100	701	1	1826950	451
ch.9434	570	1	122042	690
ch.9564	955	1	838935	8401615
ch.13514	927	1	12313	1337195
ch.15298	1094	2	629319	6789131
ch.8719	1167	2	243373	3636239
ch.16002	753	1	20997	42098
ch.7817	597	1	21739000	9902
ch.5580	783	1	798073	166583
ch.16185	760	3	19749	15839
ch.18306	895	2	50699	366515
ch.4979	480	1	70744	84
ch.9501	677	1	16351	17007
ch.10749	813	1	49946	737629
ch.9632	853	2	11861	1335067
ch.7823	832	2	26569	750415
ch.7631	872	2	187526	6338
ch.4256	904	1	198100	3215460
ch.6242	815	1	415688	408121
ch.4207	830	1	70219	147391
ch.17445	871	1	82113	795057
ch.12293	861	2	36110	2297125
ch.1740	785	1	132731	7281
ch.19876	647	1	127891	6960
ch.5318	849	3	29487	322001
ch.19967	914	2	17940	5583419
ch.4134	702	1	25228	11849
ch.10287	577	1	56429	382
ch.1416	889	1	339066	1533775
ch.8364	963	3	350050	829619
ch.1696	941	3	199664	6058004
ch.8275	850	1	511706	212219
ch.1665	704	1	123441	168050
ch.15944	748	1	26347	10447
ch.363	732	1	2050210	7380
ch.1877	858	3	167076	1402999
ch.12136	821	2	524406	41724
ch.6114	704	1	1086010	4569
ch.15756	746	2	1949400	49855
ch.10293	771	1	10086	15556
ch.15824	862	1	469760	4082128
ch.15505	1179	1	870637	2051203
ch.13398	617	1	591279	975
ch.6347	584	1	59650	2084
ch.17892	625	1	20490	5845
ch.13058	677	1	682885	18562
ch.12334	816	2	35176	533939
ch.17511	889	3	565633	3953129
ch.15810	959	1	30540	664685
ch.2789	642	1	13387	1050
ch.237	756	2	25077000	447889
ch.266	594	1	824451	277
ch.11169	534	1	431647	401
ch.4227	539	1	86273	95
ch.12211	638	2	58117	1008
ch.6233	621	1	1075180	2771
ch.19526	616	1	218237	6959
ch.16156	817	1	47667	1726653
ch.9940	823	1	345995	78416
ch.5594	737	1	103116	13051
ch.14142	810	1	18529	295415
ch.9612	780	1	71179	343811
ch.2247	826	2	30847	235906
ch.2096	777	2	1260880	41687
ch.16325	1018	1	36440	9289259
ch.13551	997	3	483304	3466933
ch.14036	554	1	11337	869
ch.7895	924	3	17484	9481109
ch.15129	556	1	20721	767
ch.12718	728	1	142697	5063
ch.14214	680	1	48259	7660
ch.2333	873	1	1923500	640964
ch.8729	1026	2	382364	76341
ch.13575	596	1	75824	1902
ch.16181	589	1	50388	4523
ch.15139	830	1	174200	483423
ch.9727	637	1	190321	1775
ch.9824	820	2	47913	730520
ch.13805	864	1	13278	1839145
ch.16275	705	1	842211	59309
ch.18005	871	2	2315810	1282199
ch.7741	841	1	765929	111643
ch.5644	756	2	20563	299495
ch.14292	538	1	29018400	123
ch.848	977	2	298011	5129585
ch.18819	807	1	34187	946843
ch.15612	542	1	68530	986
ch.15851	608	1	45937	1405
ch.15703	838	1	3814740	79211
ch.14768	1037	2	1603310	4685159
ch.13299	848	2	33007	62015
ch.15795	778	1	235149	37919
ch.14628	728	1	6737860	304899
ch.8067	779	3	29084	151961
ch.3913	796	2	252767	501793
ch.7248	693	2	339574	22742
ch.302	772	2	360922	11459
